,Label,Region
0,1,A1C1S1
1,2,A1C1S2
2,3,A1C1S3
3,4,A1C1S4
4,5,A1C2S1
5,6,A1C2S2
6,7,A1C2S3
7,8,A1C2S4
8,9,A1C3S1
9,10,A1C3S2
10,11,A1C3S3
11,12,A1C3S4
12,13,A2C1S1
13,14,A2C1S2
14,15,A2C1S3
15,16,A2C1S4
16,17,A2C2S1
17,18,A2C2S2
18,19,A2C2S3
19,20,A2C2S4
20,21,A2C3S1
21,22,A2C3S2
22,23,A2C3S3
23,24,A2C3S4
24,25,A3C1S1
25,26,A3C1S2
26,27,A3C1S3
27,28,A3C1S4
28,29,A3C2S1
29,30,A3C2S2
30,31,A3C2S3
31,32,A3C2S4
32,33,A3C3S1
33,34,A3C3S2
34,35,A3C3S3
35,36,A3C3S4
36,37,A4C1S1
37,38,A4C1S2
38,39,A4C1S3
39,40,A4C1S4
40,41,A4C2S1
41,42,A4C2S2
42,43,A4C2S3
43,44,A4C2S4
44,45,A4C3S1
45,46,A4C3S2
46,47,A4C3S3
47,48,A4C3S4
